"jou","issn","SciMet_A","SciMet_B","SciMet_C","entry"
"International Journal of Solids and Structures","0020-7683","Applied Sciences","Engineering","Mechanical Engineering & Transports","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"PloS one","1932-6203","General","General Science & Technology","General Science & Technology","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Applied Physics Letters","0003-6951","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of Applied Physics","0021-8979","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Particle and Fibre Toxicology","1743-8977","Health Sciences","Biomedical Research","Toxicology","auto_name"
"The Journal of Organic Chemistry","0022-3263","Natural Sciences","Chemistry","Organic Chemistry","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The New England journal of medicine","0028-4793","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Applicable analysis","0003-6811","Natural Sciences","Mathematics & Statistics","General Mathematics","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Inorganic Chemistry","0020-1669","Natural Sciences","Chemistry","Inorganic & Nuclear Chemistry","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"International Journal of Coal Geology","0166-5162","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Schizophrenia Bulletin","0586-7614","Health Sciences","Clinical Medicine","Psychiatry","auto_issn"
"ASN neuro","1759-0914","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","manual"
"Acta Geophysica Sinica","0001-5733","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Experimental Dermatology","0906-6705","Health Sciences","Clinical Medicine","Dermatology & Venereal Diseases","auto_issn"
"Journal of International Economic Law","1369-3034","Economic & Social Sciences","Social Sciences","Law","auto_issn"
"Monthly Notices of the Royal Astronomical Society","0035-8711","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Protoplasma","0033-183X","Natural Sciences","Biology","Plant Biology & Botany","auto_issn"
"Critical Care Medicine","0090-3493","Health Sciences","Clinical Medicine","Emergency & Critical Care Medicine","auto_issn"
"International Journal of Psychology","0020-7594","Health Sciences","Psychology & Cognitive Sciences","Social Psychology","auto_issn"
"Alimentary Pharmacology & Therapeutics","0269-2813","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Cellular and Molecular Life Sciences","1420-682X","Health Sciences","Biomedical Research","Biochemistry & Molecular Biology","auto_issn"
"European Journal of Vascular and Endovascular Surgery","1078-5884","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"Fungal Genetics and Biology","1087-1845","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Global food security","2211-9124","Applied Sciences","Agriculture, Fisheries & Forestry","Food Science","manual"
"The international journal of tourism research","1099-2340","Economic & Social Sciences","Economics & Business ","Sport, Leisure & Tourism","manual"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Nature Communications","2041-1723","Natural Sciences","Biology","Ecology","manual"
"Pharmacology research & perspectives","2052-1707","Health Sciences","Clinical Medicine","Pharmacology & Pharmacy","manual"
"Physica Status Solidi (B) Basic Solid State  Physics","0370-1972","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Journal of Applied Remote Sensing","1931-3195","Applied Sciences","Engineering","Geological & Geomatics Engineering","auto_name"
"Physical Review A - Atomic, Molecular, and Optical Physics","2469-9926","Natural Sciences","Physics & Astronomy","General Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","1550-7998","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"PloS one","1932-6203","General","General Science & Technology","General Science & Technology","auto_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Arthritis research & therapy","1478-6354","Health Sciences","Clinical Medicine","Arthritis & Rheumatology","manual"
"Journal of Clinical Oncology","0732-183X","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Physical review. X","2160-3308","General","General Science & Technology","General Science & Technology","manual"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The New England journal of medicine","0028-4793","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Advanced Materials","0935-9648","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Development","0950-1991","Health Sciences","Biomedical Research","Developmental Biology","manual"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Nature","0028-0836","General","General Science & Technology","General Science & Technology","auto_issn"
"Nature","0028-0836","General","General Science & Technology","General Science & Technology","auto_issn"
"Physical Review B - Condensed Matter and Materials Physics","1098-0121","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","select_name"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"International Journal for Numerical and Analytical Methods in Geomechanics","0363-9061","Applied Sciences","Engineering","Geological & Geomatics Engineering","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"BMC Public Health",NA,"Health Sciences","Public Health & Health Services","Public Health","auto_name"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Journal of Crohn's and Colitis","1873-9946","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Atmospheric Environment","1352-2310","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"JOM","1047-4838","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Renewable & Sustainable Energy Reviews","1364-0321","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Acta Materialia","1359-6454","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Alimentary Pharmacology & Therapeutics","0269-2813","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Implant Dentistry","1056-6163","Health Sciences","Clinical Medicine","Dentistry","auto_issn"
"Organic Electronics","1566-1199","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Scandinavian Journal of Psychology","0036-5564","Health Sciences","Psychology & Cognitive Sciences","Experimental Psychology","auto_issn"
"ACS Nano","1936-0851","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","auto_issn"
"The Astrophysical Journal","0004-637X","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"British Journal of Haematology","0007-1048","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Computational and theoretical chemistry","2210-271X","Natural Sciences","Physics & Astronomy","Chemical Physics","manual"
"Global Change Biology","1354-1013","Natural Sciences","Biology","Ecology","auto_issn"
"International Journal of Stroke","1747-4930","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Nature Communications","2041-1723","Natural Sciences","Biology","Ecology","manual"
"Nature Genetics","1061-4036","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"Plant physiology","0032-0889","Natural Sciences","Biology","Plant Biology & Botany","auto_issn"
"Science of the Total Environment","0048-9697","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Parasites & Vectors","1756-3305","Health Sciences","Biomedical Research","Mycology & Parasitology","auto_name"
"Clinical epigenetics","1868-7083","Health Sciences","Biomedical Research","Developmental Biology","manual"
"Carbohydrate Polymers","0144-8617","Natural Sciences","Chemistry","Polymers","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Materials Letters","0167-577X","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Science of the Total Environment","0048-9697","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Proceedings of the National Academy of Sciences of the United States of America","0027-8424","General","General Science & Technology","General Science & Technology","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"International Journal of Communication Systems","1074-5351","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","auto_issn"
"The American Journal of Human Genetics","0002-9297","Health Sciences","Biomedical Research","Genetics & Heredity","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of the Royal Society Interface","1742-5689","General","General Science & Technology","General Science & Technology","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"IEEE Conference on Computer Vision and Pattern Recognition, CVPR 2015","1063-6919","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"2015 International Association of Institutes of Navigation World Congress (IAIN)",NA,"Economic & Social Sciences","Economics & Business ","Logistics & Transportation","manual"
"Sociologica","1971-8853","Economic & Social Sciences","Social Sciences","Sociology","manual"
"20th International Conference on Magnetism","1875-3892","Natural Sciences","Physics & Astronomy","Applied Physics","manual"
"Advances in intelligent systems and computing","2194-5357","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"CBMI 2015 : 13th International Workshop on Content-Based Multimedia Indexing","1949-3983","Arts & Humanities","Communication & Textual Studies","Communication & Media Studies","manual"
"Proceedings of IEEE Sensors","1930-0395","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","manual"
"Particle-based Methods Iv-fundamentals and Applications",NA,"Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","manual"
"23rd Euromicro International Conference on Parallel, Distributed and Network-Based Processing ∑ PDP 2015",NA,"Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","manual"
"2015 12th International Conference on Service Systems and Service Management (ICSSSM)","2161-1890","Applied Sciences","Information & Communication Technologies","Software Engineering","manual"
"CAADRIA 2015 - 20th International Conference on Computer-Aided Architectural Design Research",NA,"Applied Sciences","Built Environment & Design","Architecture","manual"
"2015 IEEE International Conference on Computer Vision Workshop (ICCVW)",NA,"Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"Trace Metals and Infectious Diseases",NA,"Health Sciences","Clinical Medicine","Immunology","manual"
"10th International Conference on Intelligent Systems and Knowledge Engineering ∑ ISKE 2015","2164-2508","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"2015 Third International Conference on Robot, Vision and Signal Processing (RVSP)",NA,"Applied Sciences","Engineering","Industrial Engineering & Automation","manual"
"Competition Law as Regulation",NA,"Economic & Social Sciences","Social Sciences","Law","manual"
"2015 IEEE Computer Society Annual Symposium on VLSI (ISVLSI)","2159-3469","Applied Sciences","Information & Communication Technologies","Software Engineering","manual"
"2015 IEEE Computer Society Annual Symposium on VLSI (ISVLSI)","2159-3469","Applied Sciences","Information & Communication Technologies","Software Engineering","manual"
"China's Urban Century: Governance, Environment and Socio-economic Imperatives",NA,"Economic & Social Sciences","Economics & Business ","Economics","manual"
"International Conference on Image Processing 2015","1522-4880","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"Procedural Fairness in Competition",NA,"Economic & Social Sciences","Economics & Business ","Economics","manual"
"37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBS)","1557-170X","Applied Sciences","Engineering","Biomedical Engineering","manual"
"Journal of World Trade","1011-6702","Economic & Social Sciences","Social Sciences","Law","auto_issn"
"Fleischwirtschaft","0015-363X","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","auto_issn"
"Physics and Chemistry of the Earth","1474-7065","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Urban Forestry & Urban Greening","1618-8667","Applied Sciences","Agriculture, Fisheries & Forestry","Forestry","auto_issn"
"Breast care (Basel, Switzerland)","1661-3791","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"International Journal of Online Engineering (iJOE)","1868-1646","Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"Xxix International Conference On Photonic, Electronic, And Atomic Collisions (Icpeac2015), Pts 1-12","1742-6588","Applied Sciences","Enabling & Strategic Technologies","Optoelectronics & Photonics","manual"
"Xxix International Conference On Photonic, Electronic, And Atomic Collisions (Icpeac2015), Pts 1-12","1742-6588","Applied Sciences","Enabling & Strategic Technologies","Optoelectronics & Photonics","manual"
"ZooKeys","1313-2989","Natural Sciences","Biology","Zoology","manual"
"Economics & Sociology","2071-789X","General","General Arts, Humanities & Social Sciences","General Arts, Humanities & Social Sciences","manual"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"International Conference on Energy, Environment and Chemical Engineering (ICEECE 2015)",NA,"Applied Sciences","Enabling & Strategic Technologies","Energy","manual"
"Emerging Research on Swarm Intelligence and Algorithm Optimization",NA,"Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"International journal of clinical and experimental medicine","1940-5901","Health Sciences","Clinical Medicine","General & Internal Medicine","manual"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"International Journal of Distributed Sensor Networks","1550-1477","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","auto_name"
"Chemie der Erde / Geochemistry","0009-2819","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Perspectives in Plant Ecology, Evolution and Systematics","1433-8319","Natural Sciences","Biology","Ecology","auto_issn"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"International journal of qualitative studies on health and well-being","1748-2623","Health Sciences","Public Health & Health Services","Nursing","manual"
"Contemporary mathematics - American Mathematical Society","0271-4132","Natural Sciences","Mathematics & Statistics","General Mathematics","manual"
"Acta Arithmetica","0065-1036","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"Ecology and Society","1708-3087","Natural Sciences","Biology","Ecology","auto_issn"
"Physical Chemistry Chemical Physics","1463-9076","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"Current Pharmaceutical Design","1381-6128","Natural Sciences","Chemistry","Medicinal & Biomolecular Chemistry","auto_issn"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Journal of the Electrochemical Society","0013-4651","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Atmospheric Measurement Techniques","1867-1381","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Drug design, development and therapy","1177-8881","Natural Sciences","Chemistry","Medicinal & Biomolecular Chemistry","manual"
"Advances in computer science research","2352-538X","Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"Journal of Product & Brand Management","1061-0421","Economic & Social Sciences","Economics & Business ","Marketing","auto_issn"
"Atmospheric Measurement Techniques","1867-1381","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Geoscientific Model Development","1991-959X","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Journal of Glaciology","0022-1430","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Mathematical Problems in Engineering","1024-123X","Natural Sciences","Mathematics & Statistics","Numerical & Computational Mathematics","auto_issn"
"LISS",NA,"Applied Sciences","Engineering","Operations Research","manual"
"LISS",NA,"Applied Sciences","Engineering","Operations Research","manual"
"Drug design, development and therapy","1177-8881","Natural Sciences","Chemistry","Medicinal & Biomolecular Chemistry","manual"
"Mcwasp Xiv: International Conference on Modelling of Casting, Welding and Advanced Solidification Processes","1757-8981","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Mcwasp Xiv: International Conference on Modelling of Casting, Welding and Advanced Solidification Processes","1757-8981","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Ultrafast Phenomena XIX","0930-8989","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Ultrafast Phenomena XIX","0930-8989","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Mitteilungen Aus Dem Museum Fuer Naturkunde in  Berlin-Deutsche Entomologische Zeitschrift","1435-1951","Natural Sciences","Biology","Zoology","auto_issn"
"Colloquium Mathematicum","0010-1354","Applied Sciences","Enabling & Strategic Technologies","Optoelectronics & Photonics","manual"
"Dementia and geriatric cognitive disorders","1420-8008","Health Sciences","Clinical Medicine","Geriatrics","auto_issn"
"International Journal of Contemporary Hospitality Management","0959-6119","Economic & Social Sciences","Economics & Business ","Sport, Leisure & Tourism","auto_issn"
"Physical Chemistry Chemical Physics","1463-9076","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"Cochrane database of systematic reviews","1469-493X","Health Sciences","Clinical Medicine","General & Internal Medicine","manual"
"IEEE Software","0740-7459","Applied Sciences","Information & Communication Technologies","Software Engineering","auto_issn"
"Energy Sources, Part A: Recovery, Utilization, and Environmental Effects","1556-7036","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Environmental Research Letters","1748-9326","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_name"
"Liver International","1478-3223","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Nuclear Data Sheets","0090-3752","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Odontology","1618-1247","Health Sciences","Clinical Medicine","Dentistry","auto_issn"
"Automatica","0005-1098","Applied Sciences","Engineering","Industrial Engineering & Automation","auto_issn"
"Breast Cancer Research and Treatment","0167-6806","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Chemcatchem","1867-3880","Natural Sciences","Chemistry","Organic Chemistry","auto_issn"
"Neuropsychiatric disease and treatment",NA,"Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_name"
"Palaeogeography, Palaeoclimatology, Palaeoecology","0031-0182","Natural Sciences","Earth & Environmental Sciences","Paleontology","auto_issn"
"Journal of Asian Earth Sciences","1367-9120","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Springer series in geomechanics and geoengineering","1866-8755","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Springer series in geomechanics and geoengineering","1866-8755","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Springer series in geomechanics and geoengineering","1866-8755","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Applied Mathematics and Computation","0096-3003","Natural Sciences","Mathematics & Statistics","Numerical & Computational Mathematics","auto_issn"
"2015 Design, Automation & Test in Europe Conference & Exhibition","1530-1591","Applied Sciences","Engineering","Industrial Engineering & Automation","manual"
"2015 IEEE International Conference on Computer Vision Workshop (ICCVW)",NA,"Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"Acta Oto-laryngologica (Informa)","0001-6489","Health Sciences","Clinical Medicine","Otorhinolaryngology","auto_issn"
"Acta Physica Polonica, Series B.","0587-4254","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Alergologia Polska","2353-3854","Health Sciences","Clinical Medicine","Allergy","manual"
"Anatolia","1303-2917","Economic & Social Sciences","Economics & Business ","Sport, Leisure & Tourism","auto_issn"
"Atmospheric Chemistry and Physics","1680-7316","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Atmospheric Chemistry and Physics","1680-7316","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Atmospheric Chemistry and Physics","1680-7316","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Automatica","0005-1098","Applied Sciences","Engineering","Industrial Engineering & Automation","auto_issn"
"Cell Death & Differentiation","1350-9047","Health Sciences","Biomedical Research","Biochemistry & Molecular Biology","auto_issn"
"Energy procedia","1876-6102","Applied Sciences","Enabling & Strategic Technologies","Energy","manual"
"Clinical and vaccine immunology : CVI","1556-6811","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Computational Mechanics","0178-7675","Natural Sciences","Mathematics & Statistics","Applied Mathematics","auto_issn"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Earth system dynamics","2190-4979","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Engineering review","1330-9587","Applied Sciences","Engineering","Electrical & Electronic Engineering","manual"
"European Psychiatry","0924-9338","Health Sciences","Clinical Medicine","Psychiatry","auto_issn"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"Expert review of clinical pharmacology","1751-2433","Health Sciences","Clinical Medicine","Pharmacology & Pharmacy","auto_issn"
"Frontiers in ecology and evolution","2296-701X","Natural Sciences","Biology","Ecology","manual"
"Geodesy and geodynamics","1674-9847","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Global Change Biology","1354-1013","Natural Sciences","Biology","Ecology","auto_issn"
"International Mathematics Research Notices","1073-7928","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"Journal of electrical and computer engineering","2090-0147","Applied Sciences","Engineering","Electrical & Electronic Engineering","manual"
"Journal of Glaciology","0022-1430","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Metrologia","0026-1394","Natural Sciences","Physics & Astronomy","Optics","auto_issn"
"Neuroepidemiology","0251-5350","Health Sciences","Public Health & Health Services","Epidemiology","auto_issn"
"Philosophical Magazine","1478-6435","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Proceedings - 2015 IEEE 11th International Conference on ASIC, ASICON","2162-7541","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","manual"
"Proceedings of the 2015 ACM on International Symposium on Symbolic and Algebraic Computation",NA,"Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"Proceedings Of The 5th International Yellow River Forum on Ensuring Water Right Of The River's Demand And Healthy River Basin Maintenance",NA,"Applied Sciences","Engineering","Environmental Engineering","manual"
"Przeglad dermatologiczny","0033-2526","Health Sciences","Clinical Medicine","Dermatology & Venereal Diseases","auto_issn"
"RSC Advances","2046-2069","Natural Sciences","Chemistry","General Chemistry","select_name"
"Scientific data",NA,"General","General Science & Technology","General Science & Technology","manual"
"Tourism Recreation Research","0250-8281","Economic & Social Sciences","Economics & Business ","Sport, Leisure & Tourism","manual"
